Comunidades y Ciudades Autónomas	Sexo	Periodo	Total
09 Cataluña	Total	2011	7.539.618
09 Cataluña	Total	2010	7.512.381
09 Cataluña	Total	2009	7.475.420
09 Cataluña	Total	2008	7.364.078
09 Cataluña	Total	2007	7.210.508
09 Cataluña	Total	2006	7.134.697
09 Cataluña	Total	2005	6.995.206
09 Cataluña	Total	2004	6.813.319
09 Cataluña	Total	2003	6.704.146
09 Cataluña	Total	2002	6.506.440
09 Cataluña	Total	2001	6.361.365
09 Cataluña	Total	2000	6.261.999
09 Cataluña	Total	1999	6.207.533
09 Cataluña	Total	1998	6.147.610
09 Cataluña	Total	1997	""
09 Cataluña	Total	1996	6.090.040
09 Cataluña	Hombres	2019	3.770.123
09 Cataluña	Hombres	2018	3.730.326
09 Cataluña	Hombres	2017	3.710.200
09 Cataluña	Hombres	2016	3.697.368
09 Cataluña	Hombres	2015	3.691.745
09 Cataluña	Hombres	2014	3.701.740
09 Cataluña	Hombres	2013	3.725.318
09 Cataluña	Hombres	2012	3.741.628
09 Cataluña	Hombres	2011	3.732.196
09 Cataluña	Hombres	2010	3.724.515
09 Cataluña	Hombres	2009	3.713.765
09 Cataluña	Hombres	2008	3.661.028
09 Cataluña	Hombres	2007	3.578.176
09 Cataluña	Hombres	2006	3.543.706
09 Cataluña	Hombres	2005	3.468.235
09 Cataluña	Hombres	2004	3.366.329
09 Cataluña	Hombres	2003	3.309.850
09 Cataluña	Hombres	2002	3.201.029
09 Cataluña	Hombres	2001	3.115.336
09 Cataluña	Hombres	2000	3.058.628
09 Cataluña	Hombres	1999	3.030.196
09 Cataluña	Hombres	1998	2.997.637
09 Cataluña	Hombres	1997	""
09 Cataluña	Hombres	1996	2.971.789
09 Cataluña	Mujeres	2019	3.905.094
09 Cataluña	Mujeres	2018	3.869.739
09 Cataluña	Mujeres	2017	3.845.630
09 Cataluña	Mujeres	2016	3.825.228
09 Cataluña	Mujeres	2015	3.816.361
09 Cataluña	Mujeres	2014	3.817.163
09 Cataluña	Mujeres	2013	3.828.332
09 Cataluña	Mujeres	2012	3.829.280
09 Cataluña	Mujeres	2011	3.807.422
09 Cataluña	Mujeres	2010	3.787.866
09 Cataluña	Mujeres	2009	3.761.655
09 Cataluña	Mujeres	2008	3.703.050
09 Cataluña	Mujeres	2007	3.632.332
09 Cataluña	Mujeres	2006	3.590.991
09 Cataluña	Mujeres	2005	3.526.971
09 Cataluña	Mujeres	2004	3.446.990
09 Cataluña	Mujeres	2003	3.394.296
09 Cataluña	Mujeres	2002	3.305.411
09 Cataluña	Mujeres	2001	3.246.029
09 Cataluña	Mujeres	2000	3.203.371
09 Cataluña	Mujeres	1999	3.177.337
09 Cataluña	Mujeres	1998	3.149.973
09 Cataluña	Mujeres	1997	""
09 Cataluña	Mujeres	1996	3.118.251
10 Comunitat Valenciana	Total	2019	5.003.769
10 Comunitat Valenciana	Total	2018	4.963.703
10 Comunitat Valenciana	Total	2017	4.941.509
10 Comunitat Valenciana	Total	2016	4.959.968
10 Comunitat Valenciana	Total	2015	4.980.689
10 Comunitat Valenciana	Total	2014	5.004.844
10 Comunitat Valenciana	Total	2013	5.113.815
10 Comunitat Valenciana	Total	2012	5.129.266
10 Comunitat Valenciana	Total	2011	5.117.190
10 Comunitat Valenciana	Total	2010	5.111.706
10 Comunitat Valenciana	Total	2009	5.094.675
10 Comunitat Valenciana	Total	2008	5.029.601
10 Comunitat Valenciana	Total	2007	4.885.029
10 Comunitat Valenciana	Total	2006	4.806.908
10 Comunitat Valenciana	Total	2005	4.692.449
10 Comunitat Valenciana	Total	2004	4.543.304
10 Comunitat Valenciana	Total	2003	4.470.885
10 Comunitat Valenciana	Total	2002	4.326.708
10 Comunitat Valenciana	Total	2001	4.202.608
10 Comunitat Valenciana	Total	2000	4.120.729
10 Comunitat Valenciana	Total	1999	4.066.474
10 Comunitat Valenciana	Total	1998	4.023.441
10 Comunitat Valenciana	Total	1997	""
10 Comunitat Valenciana	Total	1996	4.009.329
10 Comunitat Valenciana	Hombres	2019	2.465.342
10 Comunitat Valenciana	Hombres	2018	2.446.383
10 Comunitat Valenciana	Hombres	2017	2.436.203
10 Comunitat Valenciana	Hombres	2016	2.448.748
10 Comunitat Valenciana	Hombres	2015	2.460.805
10 Comunitat Valenciana	Hombres	2014	2.475.081
10 Comunitat Valenciana	Hombres	2013	2.534.539
10 Comunitat Valenciana	Hombres	2012	2.546.404
10 Comunitat Valenciana	Hombres	2011	2.541.780
10 Comunitat Valenciana	Hombres	2010	2.542.949
10 Comunitat Valenciana	Hombres	2009	2.537.898
10 Comunitat Valenciana	Hombres	2008	2.508.433
10 Comunitat Valenciana	Hombres	2007	2.432.162
10 Comunitat Valenciana	Hombres	2006	2.394.307
10 Comunitat Valenciana	Hombres	2005	2.332.283
10 Comunitat Valenciana	Hombres	2004	2.251.812
10 Comunitat Valenciana	Hombres	2003	2.213.010
10 Comunitat Valenciana	Hombres	2002	2.136.323
10 Comunitat Valenciana	Hombres	2001	2.066.487
10 Comunitat Valenciana	Hombres	2000	2.020.667
10 Comunitat Valenciana	Hombres	1999	1.993.258
10 Comunitat Valenciana	Hombres	1998	1.970.767
10 Comunitat Valenciana	Hombres	1997	""
10 Comunitat Valenciana	Hombres	1996	1.962.181
10 Comunitat Valenciana	Mujeres	2019	2.538.427
10 Comunitat Valenciana	Mujeres	2018	2.517.320
10 Comunitat Valenciana	Mujeres	2017	2.505.306
10 Comunitat Valenciana	Mujeres	2016	2.511.220
10 Comunitat Valenciana	Mujeres	2015	2.519.884
10 Comunitat Valenciana	Mujeres	2014	2.529.763
10 Comunitat Valenciana	Mujeres	2013	2.579.276
10 Comunitat Valenciana	Mujeres	2012	2.582.862
10 Comunitat Valenciana	Mujeres	2011	2.575.410
10 Comunitat Valenciana	Mujeres	2010	2.568.757
10 Comunitat Valenciana	Mujeres	2009	2.556.777
10 Comunitat Valenciana	Mujeres	2008	2.521.168
10 Comunitat Valenciana	Mujeres	2007	2.452.867
10 Comunitat Valenciana	Mujeres	2006	2.412.601
10 Comunitat Valenciana	Mujeres	2005	2.360.166
10 Comunitat Valenciana	Mujeres	2004	2.291.492
10 Comunitat Valenciana	Mujeres	2003	2.257.875
10 Comunitat Valenciana	Mujeres	2002	2.190.385
10 Comunitat Valenciana	Mujeres	2001	2.136.121
10 Comunitat Valenciana	Mujeres	2000	2.100.062
10 Comunitat Valenciana	Mujeres	1999	2.073.216
10 Comunitat Valenciana	Mujeres	1998	2.052.674
10 Comunitat Valenciana	Mujeres	1997	""
10 Comunitat Valenciana	Mujeres	1996	2.047.148
11 Extremadura	Total	2019	1.067.710
11 Extremadura	Total	2018	1.072.863
11 Extremadura	Total	2017	1.079.920
11 Extremadura	Total	2016	1.087.778
11 Extremadura	Total	2015	1.092.997
11 Extremadura	Total	2014	1.099.632
11 Extremadura	Total	2013	1.104.004
11 Extremadura	Total	2012	1.108.130
11 Extremadura	Total	2011	1.109.367
11 Extremadura	Total	2010	1.107.220
11 Extremadura	Total	2009	1.102.410
11 Extremadura	Total	2008	1.097.744
11 Extremadura	Total	2007	1.089.990
11 Extremadura	Total	2006	1.086.373
11 Extremadura	Total	2005	1.083.879
11 Extremadura	Total	2004	1.075.286
11 Extremadura	Total	2003	1.073.904
11 Extremadura	Total	2002	1.073.050
11 Extremadura	Total	2001	1.073.381
11 Extremadura	Total	2000	1.069.420
11 Extremadura	Total	1999	1.073.574
11 Extremadura	Total	1998	1.069.419
11 Extremadura	Total	1997	""
11 Extremadura	Total	1996	1.070.244
11 Extremadura	Hombres	2019	528.500
11 Extremadura	Hombres	2018	531.255
11 Extremadura	Hombres	2017	535.060
11 Extremadura	Hombres	2016	539.239
11 Extremadura	Hombres	2015	542.078
11 Extremadura	Hombres	2014	545.616
11 Extremadura	Hombres	2013	548.054
11 Extremadura	Hombres	2012	550.324
11 Extremadura	Hombres	2011	550.864
11 Extremadura	Hombres	2010	549.721
11 Extremadura	Hombres	2009	547.550
11 Extremadura	Hombres	2008	546.192
11 Extremadura	Hombres	2007	541.692
11 Extremadura	Hombres	2006	540.352
11 Extremadura	Hombres	2005	539.225
11 Extremadura	Hombres	2004	534.704
11 Extremadura	Hombres	2003	533.891
11 Extremadura	Hombres	2002	533.539
11 Extremadura	Hombres	2001	533.622
11 Extremadura	Hombres	2000	531.144
11 Extremadura	Hombres	1999	533.506
11 Extremadura	Hombres	1998	530.994
11 Extremadura	Hombres	1997	""
11 Extremadura	Hombres	1996	530.500
11 Extremadura	Mujeres	2019	539.210
11 Extremadura	Mujeres	2018	541.608
11 Extremadura	Mujeres	2017	544.860
11 Extremadura	Mujeres	2016	548.539
11 Extremadura	Mujeres	2015	550.919
11 Extremadura	Mujeres	2014	554.016
11 Extremadura	Mujeres	2013	555.950
11 Extremadura	Mujeres	2012	557.806
11 Extremadura	Mujeres	2011	558.503
11 Extremadura	Mujeres	2010	557.499
11 Extremadura	Mujeres	2009	554.860
11 Extremadura	Mujeres	2008	551.552
11 Extremadura	Mujeres	2007	548.298
11 Extremadura	Mujeres	2006	546.021
11 Extremadura	Mujeres	2005	544.654
11 Extremadura	Mujeres	2004	540.582
11 Extremadura	Mujeres	2003	540.013
11 Extremadura	Mujeres	2002	539.511
11 Extremadura	Mujeres	2001	539.759
11 Extremadura	Mujeres	2000	538.276
11 Extremadura	Mujeres	1999	540.068
11 Extremadura	Mujeres	1998	538.425
11 Extremadura	Mujeres	1997	""
11 Extremadura	Mujeres	1996	539.744
12 Galicia	Total	2019	2.699.499
12 Galicia	Total	2018	2.701.743
12 Galicia	Total	2017	2.708.339
12 Galicia	Total	2016	2.718.525
12 Galicia	Total	2015	2.732.347
12 Galicia	Total	2014	2.748.695
12 Galicia	Total	2013	2.765.940
12 Galicia	Total	2012	2.781.498
12 Galicia	Total	2011	2.795.422
12 Galicia	Total	2010	2.797.653
12 Galicia	Total	2009	2.796.089
12 Galicia	Total	2008	2.784.169
12 Galicia	Total	2007	2.772.533
12 Galicia	Total	2006	2.767.524
12 Galicia	Total	2005	2.762.198
12 Galicia	Total	2004	2.750.985
12 Galicia	Total	2003	2.751.094
12 Galicia	Total	2002	2.737.370
12 Galicia	Total	2001	2.732.926
12 Galicia	Total	2000	2.731.900
12 Galicia	Total	1999	2.730.337
12 Galicia	Total	1998	2.724.544
12 Galicia	Total	1997	""
12 Galicia	Total	1996	2.742.622
12 Galicia	Hombres	2019	1.298.964
12 Galicia	Hombres	2018	1.300.609
12 Galicia	Hombres	2017	1.304.392
12 Galicia	Hombres	2016	1.309.809
12 Galicia	Hombres	2015	1.317.054
12 Galicia	Hombres	2014	1.325.657
12 Galicia	Hombres	2013	1.335.122
12 Galicia	Hombres	2012	1.343.328
12 Galicia	Hombres	2011	1.349.591
12 Galicia	Hombres	2010	1.350.547
12 Galicia	Hombres	2009	1.349.603
12 Galicia	Hombres	2008	1.344.268
12 Galicia	Hombres	2007	1.337.159
12 Galicia	Hombres	2006	1.333.797
12 Galicia	Hombres	2005	1.330.703
12 Galicia	Hombres	2004	1.324.987
12 Galicia	Hombres	2003	1.324.385
12 Galicia	Hombres	2002	1.316.721
12 Galicia	Hombres	2001	1.314.078
12 Galicia	Hombres	2000	1.312.391
12 Galicia	Hombres	1999	1.312.881
12 Galicia	Hombres	1998	1.310.415
12 Galicia	Hombres	1997	""
12 Galicia	Hombres	1996	1.320.347
12 Galicia	Mujeres	2019	1.400.535
12 Galicia	Mujeres	2018	1.401.134
12 Galicia	Mujeres	2017	1.403.947
12 Galicia	Mujeres	2016	1.408.716
12 Galicia	Mujeres	2015	1.415.293
12 Galicia	Mujeres	2014	1.423.038
12 Galicia	Mujeres	2013	1.430.818
12 Galicia	Mujeres	2012	1.438.170
12 Galicia	Mujeres	2011	1.445.831
12 Galicia	Mujeres	2010	1.447.106
12 Galicia	Mujeres	2009	1.446.486
12 Galicia	Mujeres	2008	1.439.901
12 Galicia	Mujeres	2007	1.435.374
12 Galicia	Mujeres	2006	1.433.727
12 Galicia	Mujeres	2005	1.431.495
12 Galicia	Mujeres	2004	1.425.998
12 Galicia	Mujeres	2003	1.426.709
12 Galicia	Mujeres	2002	1.420.649
12 Galicia	Mujeres	2001	1.418.848
12 Galicia	Mujeres	2000	1.419.509
12 Galicia	Mujeres	1999	1.417.456
12 Galicia	Mujeres	1998	1.414.129
12 Galicia	Mujeres	1997	""
12 Galicia	Mujeres	1996	1.422.275
13 Madrid, Comunidad de	Total	2019	6.663.394
13 Madrid, Comunidad de	Total	2018	6.578.079
13 Madrid, Comunidad de	Total	2017	6.507.184
13 Madrid, Comunidad de	Total	2016	6.466.996
13 Madrid, Comunidad de	Total	2015	6.436.996
13 Madrid, Comunidad de	Total	2014	6.454.440
13 Madrid, Comunidad de	Total	2013	6.495.551
13 Madrid, Comunidad de	Total	2012	6.498.560
13 Madrid, Comunidad de	Total	2011	6.489.680
13 Madrid, Comunidad de	Total	2010	6.458.684
13 Madrid, Comunidad de	Total	2009	6.386.932
13 Madrid, Comunidad de	Total	2008	6.271.638
13 Madrid, Comunidad de	Total	2007	6.081.689
13 Madrid, Comunidad de	Total	2006	6.008.183
13 Madrid, Comunidad de	Total	2005	5.964.143
13 Madrid, Comunidad de	Total	2004	5.804.829
13 Madrid, Comunidad de	Total	2003	5.718.942
13 Madrid, Comunidad de	Total	2002	5.527.152
13 Madrid, Comunidad de	Total	2001	5.372.433
13 Madrid, Comunidad de	Total	2000	5.205.408
13 Madrid, Comunidad de	Total	1999	5.145.325
13 Madrid, Comunidad de	Total	1998	5.091.336
13 Madrid, Comunidad de	Total	1997	""
13 Madrid, Comunidad de	Total	1996	5.022.289
13 Madrid, Comunidad de	Hombres	2019	3.187.312
13 Madrid, Comunidad de	Hombres	2018	3.147.872
13 Madrid, Comunidad de	Hombres	2017	3.115.522
13 Madrid, Comunidad de	Hombres	2016	3.098.631
13 Madrid, Comunidad de	Hombres	2015	3.087.022
13 Madrid, Comunidad de	Hombres	2014	3.099.641
13 Madrid, Comunidad de	Hombres	2013	3.123.724
13 Madrid, Comunidad de	Hombres	2012	3.130.241
13 Madrid, Comunidad de	Hombres	2011	3.132.844
13 Madrid, Comunidad de	Hombres	2010	3.124.438
13 Madrid, Comunidad de	Hombres	2009	3.094.874
13 Madrid, Comunidad de	Hombres	2008	3.040.658
13 Madrid, Comunidad de	Hombres	2007	2.943.778
13 Madrid, Comunidad de	Hombres	2006	2.908.654
13 Madrid, Comunidad de	Hombres	2005	2.887.718
13 Madrid, Comunidad de	Hombres	2004	2.804.962
13 Madrid, Comunidad de	Hombres	2003	2.760.877
13 Madrid, Comunidad de	Hombres	2002	2.663.407
13 Madrid, Comunidad de	Hombres	2001	2.584.779
13 Madrid, Comunidad de	Hombres	2000	2.501.285
13 Madrid, Comunidad de	Hombres	1999	2.472.098
13 Madrid, Comunidad de	Hombres	1998	2.444.919
13 Madrid, Comunidad de	Hombres	1997	""
13 Madrid, Comunidad de	Hombres	1996	2.411.548
13 Madrid, Comunidad de	Mujeres	2019	3.476.082
13 Madrid, Comunidad de	Mujeres	2018	3.430.207
13 Madrid, Comunidad de	Mujeres	2017	3.391.662
13 Madrid, Comunidad de	Mujeres	2016	3.368.365
13 Madrid, Comunidad de	Mujeres	2015	3.349.974
13 Madrid, Comunidad de	Mujeres	2014	3.354.799
13 Madrid, Comunidad de	Mujeres	2013	3.371.827
13 Madrid, Comunidad de	Mujeres	2012	3.368.319
13 Madrid, Comunidad de	Mujeres	2011	3.356.836
13 Madrid, Comunidad de	Mujeres	2010	3.334.246
13 Madrid, Comunidad de	Mujeres	2009	3.292.058
13 Madrid, Comunidad de	Mujeres	2008	3.230.980
13 Madrid, Comunidad de	Mujeres	2007	3.137.911
13 Madrid, Comunidad de	Mujeres	2006	3.099.529
13 Madrid, Comunidad de	Mujeres	2005	3.076.425
13 Madrid, Comunidad de	Mujeres	2004	2.999.867
13 Madrid, Comunidad de	Mujeres	2003	2.958.065
13 Madrid, Comunidad de	Mujeres	2002	2.863.745
13 Madrid, Comunidad de	Mujeres	2001	2.787.654
13 Madrid, Comunidad de	Mujeres	2000	2.704.123
13 Madrid, Comunidad de	Mujeres	1999	2.673.227
13 Madrid, Comunidad de	Mujeres	1998	2.646.417
13 Madrid, Comunidad de	Mujeres	1997	""
13 Madrid, Comunidad de	Mujeres	1996	2.610.741
14 Murcia, Región de	Total	2019	1.493.898
14 Murcia, Región de	Total	2018	1.478.509
14 Murcia, Región de	Total	2017	1.470.273
14 Murcia, Región de	Total	2016	1.464.847
14 Murcia, Región de	Total	2015	1.467.288
14 Murcia, Región de	Total	2014	1.466.818
14 Murcia, Región de	Total	2013	1.472.049
14 Murcia, Región de	Total	2012	1.474.449
14 Murcia, Región de	Total	2011	1.470.069
14 Murcia, Región de	Total	2010	1.461.979
14 Murcia, Región de	Total	2009	1.446.520
14 Murcia, Región de	Total	2008	1.426.109
14 Murcia, Región de	Total	2007	1.392.117
14 Murcia, Región de	Total	2006	1.370.306
14 Murcia, Región de	Total	2005	1.335.792
14 Murcia, Región de	Total	2004	1.294.694
14 Murcia, Región de	Total	2003	1.269.230
14 Murcia, Región de	Total	2002	1.226.993
14 Murcia, Región de	Total	2001	1.190.378
14 Murcia, Región de	Total	2000	1.149.328
14 Murcia, Región de	Total	1999	1.131.128
14 Murcia, Región de	Total	1998	1.115.068
14 Murcia, Región de	Total	1997	""
14 Murcia, Región de	Total	1996	1.097.249
14 Murcia, Región de	Hombres	2019	747.615
14 Murcia, Región de	Hombres	2018	740.143
14 Murcia, Región de	Hombres	2017	736.238
14 Murcia, Región de	Hombres	2016	733.555
14 Murcia, Región de	Hombres	2015	735.434
14 Murcia, Región de	Hombres	2014	735.889
14 Murcia, Región de	Hombres	2013	739.842
14 Murcia, Región de	Hombres	2012	742.727
14 Murcia, Región de	Hombres	2011	741.581
14 Murcia, Región de	Hombres	2010	738.627
14 Murcia, Región de	Hombres	2009	731.609
14 Murcia, Región de	Hombres	2008	722.999
14 Murcia, Región de	Hombres	2007	706.326
14 Murcia, Región de	Hombres	2006	697.027
14 Murcia, Región de	Hombres	2005	677.049
14 Murcia, Región de	Hombres	2004	652.057
14 Murcia, Región de	Hombres	2003	639.795
14 Murcia, Región de	Hombres	2002	616.236
14 Murcia, Región de	Hombres	2001	595.757
14 Murcia, Región de	Hombres	2000	570.125
14 Murcia, Región de	Hombres	1999	559.888
14 Murcia, Región de	Hombres	1998	551.343
14 Murcia, Región de	Hombres	1997	""
14 Murcia, Región de	Hombres	1996	541.069
14 Murcia, Región de	Mujeres	2019	746.283
14 Murcia, Región de	Mujeres	2018	738.366
14 Murcia, Región de	Mujeres	2017	734.035
14 Murcia, Región de	Mujeres	2016	731.292
14 Murcia, Región de	Mujeres	2015	731.854
14 Murcia, Región de	Mujeres	2014	730.929
14 Murcia, Región de	Mujeres	2013	732.207
14 Murcia, Región de	Mujeres	2012	731.722
14 Murcia, Región de	Mujeres	2011	728.488
14 Murcia, Región de	Mujeres	2010	723.352
14 Murcia, Región de	Mujeres	2009	714.911
14 Murcia, Región de	Mujeres	2008	703.110
14 Murcia, Región de	Mujeres	2007	685.791
14 Murcia, Región de	Mujeres	2006	673.279
14 Murcia, Región de	Mujeres	2005	658.743
14 Murcia, Región de	Mujeres	2004	642.637
14 Murcia, Región de	Mujeres	2003	629.435
14 Murcia, Región de	Mujeres	2002	610.757
14 Murcia, Región de	Mujeres	2001	594.621
14 Murcia, Región de	Mujeres	2000	579.203
14 Murcia, Región de	Mujeres	1999	571.240
14 Murcia, Región de	Mujeres	1998	563.725
14 Murcia, Región de	Mujeres	1997	""
14 Murcia, Región de	Mujeres	1996	556.180
15 Navarra, Comunidad Foral de	Total	2019	654.214
15 Navarra, Comunidad Foral de	Total	2018	647.554
15 Navarra, Comunidad Foral de	Total	2017	643.234
15 Navarra, Comunidad Foral de	Total	2016	640.647
15 Navarra, Comunidad Foral de	Total	2015	640.476
15 Navarra, Comunidad Foral de	Total	2014	640.790
15 Navarra, Comunidad Foral de	Total	2013	644.477
15 Navarra, Comunidad Foral de	Total	2012	644.566
15 Navarra, Comunidad Foral de	Total	2011	642.051
15 Navarra, Comunidad Foral de	Total	2010	636.924
15 Navarra, Comunidad Foral de	Total	2009	630.578
15 Navarra, Comunidad Foral de	Total	2008	620.377
15 Navarra, Comunidad Foral de	Total	2007	605.876
15 Navarra, Comunidad Foral de	Total	2006	601.874
15 Navarra, Comunidad Foral de	Total	2005	593.472
15 Navarra, Comunidad Foral de	Total	2004	584.734
15 Navarra, Comunidad Foral de	Total	2003	578.210
15 Navarra, Comunidad Foral de	Total	2002	569.628
15 Navarra, Comunidad Foral de	Total	2001	556.263
15 Navarra, Comunidad Foral de	Total	2000	543.757
15 Navarra, Comunidad Foral de	Total	1999	538.009
15 Navarra, Comunidad Foral de	Total	1998	530.819
15 Navarra, Comunidad Foral de	Total	1997	""
15 Navarra, Comunidad Foral de	Total	1996	520.574
15 Navarra, Comunidad Foral de	Hombres	2019	323.631
15 Navarra, Comunidad Foral de	Hombres	2018	320.469
15 Navarra, Comunidad Foral de	Hombres	2017	318.671
15 Navarra, Comunidad Foral de	Hombres	2016	317.840
15 Navarra, Comunidad Foral de	Hombres	2015	317.885
15 Navarra, Comunidad Foral de	Hombres	2014	318.486
15 Navarra, Comunidad Foral de	Hombres	2013	320.933
15 Navarra, Comunidad Foral de	Hombres	2012	321.453
15 Navarra, Comunidad Foral de	Hombres	2011	320.656
15 Navarra, Comunidad Foral de	Hombres	2010	318.423
15 Navarra, Comunidad Foral de	Hombres	2009	315.486
15 Navarra, Comunidad Foral de	Hombres	2008	310.282
15 Navarra, Comunidad Foral de	Hombres	2007	302.330
15 Navarra, Comunidad Foral de	Hombres	2006	300.917
15 Navarra, Comunidad Foral de	Hombres	2005	296.587
15 Navarra, Comunidad Foral de	Hombres	2004	292.059
15 Navarra, Comunidad Foral de	Hombres	2003	288.991
15 Navarra, Comunidad Foral de	Hombres	2002	284.620
15 Navarra, Comunidad Foral de	Hombres	2001	277.118
15 Navarra, Comunidad Foral de	Hombres	2000	269.826
15 Navarra, Comunidad Foral de	Hombres	1999	266.711
15 Navarra, Comunidad Foral de	Hombres	1998	262.687
15 Navarra, Comunidad Foral de	Hombres	1997	""
15 Navarra, Comunidad Foral de	Hombres	1996	257.718
15 Navarra, Comunidad Foral de	Mujeres	2019	330.583
15 Navarra, Comunidad Foral de	Mujeres	2018	327.085
15 Navarra, Comunidad Foral de	Mujeres	2017	324.563
15 Navarra, Comunidad Foral de	Mujeres	2016	322.807
15 Navarra, Comunidad Foral de	Mujeres	2015	322.591
15 Navarra, Comunidad Foral de	Mujeres	2014	322.304
15 Navarra, Comunidad Foral de	Mujeres	2013	323.544
15 Navarra, Comunidad Foral de	Mujeres	2012	323.113
15 Navarra, Comunidad Foral de	Mujeres	2011	321.395
15 Navarra, Comunidad Foral de	Mujeres	2010	318.501
15 Navarra, Comunidad Foral de	Mujeres	2009	315.092
15 Navarra, Comunidad Foral de	Mujeres	2008	310.095
15 Navarra, Comunidad Foral de	Mujeres	2007	303.546
15 Navarra, Comunidad Foral de	Mujeres	2006	300.957
15 Navarra, Comunidad Foral de	Mujeres	2005	296.885
15 Navarra, Comunidad Foral de	Mujeres	2004	292.675
15 Navarra, Comunidad Foral de	Mujeres	2003	289.219
15 Navarra, Comunidad Foral de	Mujeres	2002	285.008
15 Navarra, Comunidad Foral de	Mujeres	2001	279.145
15 Navarra, Comunidad Foral de	Mujeres	2000	273.931
15 Navarra, Comunidad Foral de	Mujeres	1999	271.298
15 Navarra, Comunidad Foral de	Mujeres	1998	268.132
15 Navarra, Comunidad Foral de	Mujeres	1997	""
15 Navarra, Comunidad Foral de	Mujeres	1996	262.856
16 País Vasco	Total	2019	2.207.776
16 País Vasco	Total	2018	2.199.088
16 País Vasco	Total	2017	2.194.158
16 País Vasco	Total	2016	2.189.534
16 País Vasco	Total	2015	2.189.257
16 País Vasco	Total	2014	2.188.985
16 País Vasco	Total	2013	2.191.682
16 País Vasco	Total	2012	2.193.093
16 País Vasco	Total	2011	2.184.606
16 País Vasco	Total	2010	2.178.339
16 País Vasco	Total	2009	2.172.175
16 País Vasco	Total	2008	2.157.112
16 País Vasco	Total	2007	2.141.860
16 País Vasco	Total	2006	2.133.684
16 País Vasco	Total	2005	2.124.846
16 País Vasco	Total	2004	2.115.279
16 País Vasco	Total	2003	2.112.204
16 País Vasco	Total	2002	2.108.281
16 País Vasco	Total	2001	2.101.478
16 País Vasco	Total	2000	2.098.596
16 País Vasco	Total	1999	2.100.441
16 País Vasco	Total	1998	2.098.628
16 País Vasco	Total	1997	""
16 País Vasco	Total	1996	2.098.055
16 País Vasco	Hombres	2019	1.073.074
16 País Vasco	Hombres	2018	1.068.750
16 País Vasco	Hombres	2017	1.066.905
16 País Vasco	Hombres	2016	1.065.580
16 País Vasco	Hombres	2015	1.065.925
16 País Vasco	Hombres	2014	1.066.369
16 País Vasco	Hombres	2013	1.068.746
16 País Vasco	Hombres	2012	1.070.438
16 País Vasco	Hombres	2011	1.066.872
16 País Vasco	Hombres	2010	1.064.708
16 País Vasco	Hombres	2009	1.062.412
16 País Vasco	Hombres	2008	1.055.150
16 País Vasco	Hombres	2007	1.046.795
16 País Vasco	Hombres	2006	1.043.849
16 País Vasco	Hombres	2005	1.040.525
16 País Vasco	Hombres	2004	1.035.863
16 País Vasco	Hombres	2003	1.034.326
16 País Vasco	Hombres	2002	1.032.209
16 País Vasco	Hombres	2001	1.028.392
16 País Vasco	Hombres	2000	1.026.651
16 País Vasco	Hombres	1999	1.028.146
16 País Vasco	Hombres	1998	1.026.915
16 País Vasco	Hombres	1997	""
16 País Vasco	Hombres	1996	1.027.114
16 País Vasco	Mujeres	2019	1.134.702
16 País Vasco	Mujeres	2018	1.130.338
16 País Vasco	Mujeres	2017	1.127.253
16 País Vasco	Mujeres	2016	1.123.954
16 País Vasco	Mujeres	2015	1.123.332
16 País Vasco	Mujeres	2014	1.122.616
16 País Vasco	Mujeres	2013	1.122.936
16 País Vasco	Mujeres	2012	1.122.655
16 País Vasco	Mujeres	2011	1.117.734
16 País Vasco	Mujeres	2010	1.113.631
16 País Vasco	Mujeres	2009	1.109.763
16 País Vasco	Mujeres	2008	1.101.962
16 País Vasco	Mujeres	2007	1.095.065
16 País Vasco	Mujeres	2006	1.089.835
16 País Vasco	Mujeres	2005	1.084.321
16 País Vasco	Mujeres	2004	1.079.416
16 País Vasco	Mujeres	2003	1.077.878
16 País Vasco	Mujeres	2002	1.076.072
16 País Vasco	Mujeres	2001	1.073.086
16 País Vasco	Mujeres	2000	1.071.945
16 País Vasco	Mujeres	1999	1.072.295
16 País Vasco	Mujeres	1998	1.071.713
16 País Vasco	Mujeres	1997	""
16 País Vasco	Mujeres	1996	1.070.941
17 Rioja, La	Total	2019	316.798
17 Rioja, La	Total	2018	315.675
17 Rioja, La	Total	2017	315.381
17 Rioja, La	Total	2016	315.794
17 Rioja, La	Total	2015	317.053
17 Rioja, La	Total	2014	319.002
17 Rioja, La	Total	2013	322.027
17 Rioja, La	Total	2012	323.609
17 Rioja, La	Total	2011	322.955
17 Rioja, La	Total	2010	322.415
17 Rioja, La	Total	2009	321.702
17 Rioja, La	Total	2008	317.501
17 Rioja, La	Total	2007	308.968
17 Rioja, La	Total	2006	306.377
17 Rioja, La	Total	2005	301.084
17 Rioja, La	Total	2004	293.553
17 Rioja, La	Total	2003	287.390
17 Rioja, La	Total	2002	281.614
17 Rioja, La	Total	2001	270.400
17 Rioja, La	Total	2000	264.178
17 Rioja, La	Total	1999	265.178
17 Rioja, La	Total	1998	263.644
17 Rioja, La	Total	1997	""
17 Rioja, La	Total	1996	264.941
17 Rioja, La	Hombres	2019	156.179
